database,dataset,scale,variant,violations,time
neo4j,recommendations,1,full,none,1825
neo4j,recommendations,1,full,none,1327
neo4j,recommendations,1,full,none,1274
neo4j,recommendations,1,binary,none,1713
neo4j,recommendations,1,binary,none,1515
neo4j,recommendations,1,binary,none,1415
neo4j,snb,0.1,full,none,18288
neo4j,snb,0.1,full,none,17288
neo4j,snb,0.1,full,none,17556
neo4j,snb,0.1,binary,none,7226
neo4j,snb,0.1,binary,none,7660
neo4j,snb,0.1,binary,none,7259
neo4j,snb,0.1,binary,single,7334
neo4j,snb,0.1,binary,single,6763
neo4j,snb,0.1,binary,single,7201
neo4j,snb,0.1,binary,many,6254
neo4j,snb,0.1,binary,many,6551
neo4j,snb,0.1,binary,many,6300
neo4j,snb,0.3,full,none,48813
neo4j,snb,0.3,full,none,46313
neo4j,snb,0.3,full,none,46249
neo4j,snb,0.3,binary,none,20932
neo4j,snb,0.3,binary,none,20010
neo4j,snb,0.3,binary,none,19583
neo4j,snb,1,full,none,175787
neo4j,snb,1,full,none,171103
neo4j,snb,1,full,none,168781
neo4j,snb,1,binary,none,67587
neo4j,snb,1,binary,none,68470
neo4j,snb,1,binary,none,68441
janusgraph,recommendations,1,full,none,6256
janusgraph,recommendations,1,full,none,5897
janusgraph,recommendations,1,full,none,6002
janusgraph,recommendations,1,binary,none,5994
janusgraph,recommendations,1,binary,none,6030
janusgraph,recommendations,1,binary,none,6316
janusgraph,snb,0.1,full,none,56211
janusgraph,snb,0.1,full,none,55600
janusgraph,snb,0.1,full,none,57408
janusgraph,snb,0.1,binary,none,57065
janusgraph,snb,0.1,binary,none,56964
janusgraph,snb,0.1,binary,none,56188
janusgraph,snb,0.1,binary,single,6688
janusgraph,snb,0.1,binary,single,6721
janusgraph,snb,0.1,binary,single,7211
janusgraph,snb,0.1,binary,many,195
janusgraph,snb,0.1,binary,many,230
janusgraph,snb,0.1,binary,many,211
tigergraph,recommendations,1,full,none,27
tigergraph,recommendations,1,full,none,22
tigergraph,recommendations,1,full,none,23
tigergraph,recommendations,1,binary,none,21
tigergraph,recommendations,1,binary,none,23
tigergraph,recommendations,1,binary,none,26
tigergraph,snb,0.1,full,none,120
tigergraph,snb,0.1,full,none,112
tigergraph,snb,0.1,full,none,107
tigergraph,snb,0.1,binary,none,104
tigergraph,snb,0.1,binary,none,193
tigergraph,snb,0.1,binary,none,110
tigergraph,snb,0.1,binary,single,104
tigergraph,snb,0.1,binary,single,115
tigergraph,snb,0.1,binary,single,117
tigergraph,snb,0.1,binary,many,120
tigergraph,snb,0.1,binary,many,115
tigergraph,snb,0.1,binary,many,204
tigergraph,snb,0.3,full,none,281
tigergraph,snb,0.3,full,none,308
tigergraph,snb,0.3,full,none,276
tigergraph,snb,0.3,binary,none,500
tigergraph,snb,0.3,binary,none,336
tigergraph,snb,0.3,binary,none,289
tigergraph,snb,1,full,none,985
tigergraph,snb,1,full,none,1037
tigergraph,snb,1,full,none,1009
tigergraph,snb,1,binary,none,1009
tigergraph,snb,1,binary,none,1026
tigergraph,snb,1,binary,none,1028
